question_id,prompt,A,B,C,D,E,answer,difficulty
963,Which of the following statements regarding the Confederate army's firing on Fort Sumter in 1861 is true?,Abraham Lincoln had previously sent troops to defend the fort.,Jefferson Davis had offered to protect the ship that came to rescue the Union soldiers.,Abraham Lincoln had previously decided to abandon the fort.,Abraham Lincoln had previously sent supplies without extensive military protection.,"Jefferson Davis had left the decision to fire upon the fort up to the troops in Charleston, South Carolina.",D,0.56
964,"The films Birth of a Nation, directed by D. W. Griffith, and Gone with the Wind, based on a novel by Margaret Mitchell, are similar in that they both",revolutionized the way silent films were made.,presented the Old South in ways sympathetic to the former slaveholding class.,were rejected by the public but were appreciated by critics for their artistry.,dealt with the tensions and conflicts of the Revolutionary War era.,offered escapism to the poor during the Great Depression.,B,0.75
965,"The U.S. experiment in Prohibition, which lasted from 1920 to 1933, demonstrated that",it is difficult for the government to enforce laws that are unpopular with large segments of the public.,granting women the right to vote opened the door to a variety of reforms that were previously unthinkable.,the Republican Party was more in tune with popular sentiments than the Democratic Party.,the power of the federal government can be successfully used to change the public's behavior.,the issue of states' rights versus federal power had not yet been resolved.,A,0.18
966,"Which of the following pairs of laws were enacted as part of President Lyndon Johnson's ""Great Society"" program?",The Interstate Highway Act and the National Defense Education Act,The Smoot-Hawley Tariff Act and the National Origins Act,The Social Security Act and the Wagner Act,The Medicare Act and the Equal Opportunity Employment Act,The Servicemen's Readjustment Act and the Taft-Hartley Act,D,0.63
967,All of the following were part of the Watergate scandal EXCEPT,the publication of the Pentagon Papers by the New York Times and the Washington Post.,"Saturday night massacre, in which one attorney general resigned and another was fired.",giving money to rebels in Nicaragua.,"the revelations of a smoking gun tape, which provided proof of obstruction of justice.",the payment of hush money to keep conspirators quiet.,C,0.41
968,"Muhammad Ali was a significant figure in the 1960s, '70s, and '80s for all of the following reasons EXCEPT",he refused to serve in the Vietnam War.,he converted to Islam and adopted a Muslim name.,he campaigned for Ronald Reagan in 1980.,he became a symbol for civil rights.,he won a gold medal at the 1960 Olympics.,C,0.14
969,Which of the following is a true statement in regard to foreign policy during the Clinton Administration?,The United States continued a policy of isolationism.,"Clinton labeled the Soviet Union the ""evil empire"" to gain the support of congressional Republicans.",Clinton sent more troops in peacetime around the world than any other president.,"Clinton's policies were, by and large, opposed by the American people.",Clinton distanced the United States from NATO actions.,C,0.53
971,"Representative David Wilmot of Pennsylvania wrote an amendment to an appropriations bill for the Mexican War in 1846, which stated that ""there shall be no slavery or involuntary servitude in any territory acquired from Mexico."" These words represented a key element of the",gradual abolitionist position of James Tallmadge.,Free Soil idea of the moderate antislavery politicians.,immediate abolitionism of William Lloyd Garrison.,nativist platform of the Know Nothing Party.,popular sovereignty position.,B,0.77
972,Stephen Douglas's Freeport Doctrine stated that,slavery should be excluded from all territories west of the Mississippi River.,the Union cannot survive half slave and half free.,the Union must be preserved at all costs.,liberty is more important than the Union.,slavery can only exist where it has been supported by local law.,E,0.66
973,Which of the following statements is true in regard to President Theodore Roosevelt's environmental polices?,"Roosevelt rejected the notion of conservation because he allowed the ""good trusts"" to develop some areas in national parks for business purposes.","Roosevelt rejected any attempts at government protection of wilderness areas, arguing instead that market forces should determine land use.","Roosevelt appointed the pro-business James Watt as Secretary of the Interior, angering many environmentalists, such as John Muir.","Roosevelt worked closely with the head of the U.S. Forest Service, Gifford Pinchot, to set aside land for national parks, national monuments, and wildlife refuges.","While Roosevelt was an avid outdoorsman, he believed that any action on behalf of the environment should be taken at the state level.",D,0.31
974,"The Grapes of Wrath, John Steinbeck's Depression-era novel, chronicles the lives of",Mexican migrant farm workers.,displaced Dust Bowl farmers.,Southern sharecroppers.,coal miners from West Virginia.,unemployed autoworkers from Michigan.,B,0.27
975,President Franklin D. Roosevelt's actions were noteworthy because he,simplified the operations of the federal government.,implemented a sweeping civil rights program.,extended the direct influence of the government into the lives of the people.,succeeded in being elected five times to the presidency.,successfully concluded World War II.,C,0.18
976,"Which of the following statements about the 1947 Taft-Hartley Act, passed by Congress over President Truman's veto, is true?",It was welcomed by suburban developers because it earmarked large sums of money for highway construction.,"It was labeled the ""Magna Carta for organized labor"" by AFL-CIO head George Meany because it made it legal for workers to organize unions.","It was condemned by unions because it barred closed shops and allowed the president to call an 80-day ""cooling-off"" period before a strike could proceed.",It was supported by veterans groups because it provided aid to soldiers returning from World War II for college education and home ownership.,It was supported by the National Association for the Advancement of Colored People because it required the federal government to end racial discrimination in defense industries.,C,0.82
977,The Mississippi Freedom Democratic Party was formed in,"1912, to support the Progressive candidacy of Theodore Roosevelt.","1948, to support President Truman's civil rights initiatives.","1962, to support prayer in public schools.","1964, to support African American representation at the Democratic convention.","1968, to support the presidential bid of Governor George Wallace.",D,0.99
978,Why did the Vietnamese build hundreds of miles of tunnels?,To hide from French soldiers,To hide from American soldiers,To prepare for military operations,To live in them for months at a time,All of the above,E,0.51
979,"The ""Contract with America,"" put forward by congressional Republicans in 1994, included proposals to",decrease income taxes and force welfare recipients to find work.,decrease military spending and increase the education budget.,protect the rights of homosexuals in the military and create a single-payer health care system.,reinforce the separation of church and state and reform the campaign finance system.,make English the national language and eliminate bilingual education.,A,0.36
980,Mercantilist policies contributed to the desire of the American colonies to become independent from Britain for all of the following reasons EXCEPT,"they restricted the colonies' trade with French, Dutch, and Spanish colonies in America.",they restricted colonial production.,they involved the exercise of British authority over the colonies.,they restricted trade among the different British colonies in America.,they required that colonial goods go through British ports on their way to other countries.,D,0.6
981,The Hartford Convention of 1814 was important because it,was held by disgruntled Republicans unhappy with the War of 1812.,led to the death of the Federalist Party.,was supported by the South and West.,led to the prominence of Henry Clay.,changed the Constitution by engineering the passage of several amendments to increase the power of state governments.,B,0.17
982,"In 1860, the Democratic Party split into two parts over",the admission of California as a free state.,"the Missouri question, which decided fate of the Louisiana Territory.","national slave codes, which called for all states to have slavery.","internal improvements, which called for the building of the transcontinental railroad.","the Second Bank of the United States, leading many Democrats to join the Whig Party.",C,0.53
983,"The Civil War has been called the ""Second American Revolution"" because","it made the United States totally independent of Great Britain, which, for the first time, accepted its former colony's political and economic independence.",it eliminated the old economic system of slavery and set the country on the road to rapid and unhindered economic growth.,the methods of fighting were directly inherited from the war for independence.,Abraham Lincoln has been called the second George Washington because of his statesmanship and his military leadership.,"the problems of race, the fundamental contradiction in American society, were solved.",B,0.32
984,The Interstate Commerce Act of 1887 and the National Industrial Recovery Act of 1933 are similar in that they both,were struck down by the Supreme Court.,put into practice the theory of laissez-faire.,were aimed at limiting the power of the railroad companies.,extended the power of government into the regulation of business.,recognized the right of workers to form unions.,D,0.35
985,Which of the following statements is true in regard to the role of the Progressive movement in electoral politics?,"It refused to work with either of the major political parties, labeling them the ""parties of big business.""",Reform-minded politicians in both the Democratic and the Republican Parties worked on Progressive issues.,"Progressives worked exclusively within the Republican Party, perceiving that the Democratic Party was controlled by special interests.",Progressive activists worked for the defeat of the Bull Moose Party in the 1912 election and worked to support the re-election of President Taft.,"Progressives generally ignored the electoral arena, arguing that no meaningful change could come through electoral politics.",B,0.52
986,The most significant change in voting patterns in the 1930s was the,decrease in the percentage of women who voted.,shift among African American voters from the Republican to the Democratic Party.,large percentage of voters registered to the Communist Party in presidential elections.,overall decrease in the number of people who voted at all.,large number of recent immigrants who registered with the Republican Party.,B,0.75
987,The End Poverty in California campaign and the Share the Wealth Society could best be described as,campaigns that argued the New Deal did not go far enough.,local programs under the auspices of the New Deal.,labor organizations formed by the Communist Party.,"conservative attacks on the ""dictatorial"" New Deal.",women's organizations that thought male-dominated organizations did not understand the realities of poverty.,A,0.13
988,William H. Whyte's 1956 book The Organization Man and Sloan Wilson's 1955 book The Man in the Gray Flannel Suit are similar in that they both,analyzed the growing sense of conformity and the loss of individualism in American society.,"were held up as examples of ""subversive"" literature by the House Un-American Activities Committee.",called attention to the fact that the Soviet Union was outpacing the United States in economic output.,were influential in reshaping standard curricula at American business administration programs.,"criticized the ""beatnik"" ethic of laziness, indulgence, and promiscuity.",A,0.81
989,The Saturday Night Massacre was important in that it,exposed the role of the Ku Klux Klan as mortal enemies of the Civil Rights Movement.,showed that the CIA had cooperated with the South Vietnamese to assassinate a head of state.,led to the indictment of Lieutenant William Calley in connection with the killing of unarmed civilians in Vietnam.,created a backlash against the insanity defense when John Hinckley was declared innocent of the attempted assassination of President Reagan.,set the stage for the downfall of President Nixon.,E,0.06
990,One of the main reasons for the writing of the Declaration of Independence was,to establish a new political philosophy.,to state an existing political philosophy.,to allow the colonies to obtain new lands.,to gain support for the Revolution among the colonists.,to protect human rights.,D,0.18
991,The Northwest Ordinance of 1787 was significant for all of the following reasons EXCEPT that it,provided for freedom of religion in the Northwest Territory.,established militias for protection against the French.,prohibited slavery in the Northwest Territory.,encouraged the fair treatment of Native Americans.,provided for the orderly settlement of the Northwest Territory.,B,0.75
992,Which idea is most consistent with the political philosophy of Alexander Hamilton?,There should be rotation of people who hold public office.,The Constitution should be loosely interpreted.,The people can be trusted to make the right decisions if given the proper information.,All people have a right to be educated.,The states should have more power than the central government.,B,0.49
993,"When Lincoln said ""Four score and seven years ago?,"" he was reminding his audience of the",inauguration of George Washington.,convening of the Constitutional Convention.,writing of the Mayflower Compact.,signing of the Declaration of Independence.,landing at Jamestown.,D,0.07
994,"The platform of the People's (Populist) Party, ratified at its founding convention in Omaha, Nebraska, in 1892, consisted of all the following demands EXCEPT",a graduated income tax.,an increase in the supply of money.,the eight-hour day for workers.,government ownership of railroads.,an end to immigration restrictions.,E,0.83
995,Montgomery Ward and Richard Sears both played a significant role in the history of American commerce in the 19th century by,"starting chains of ""five-and-dime"" stores carrying a large variety of items.","creating ""layaway"" plans, where customers would pay a only portion of the list price up front.","creating mail-order catalogs, allowing rural people to purchase a wide assortment of goods.",selling mass-produced items made in the United States instead of handcrafted items made in England.,"adding refrigeration to their grocery stores, allowing them to feature a variety of fresh food.",C,0.41
996,President Theodore Roosevelt's foreign policy initiatives included all of the following EXCEPT,securing the Hay-Bunau-Varilla Treaty with Panama to build a canal through Panama.,brokering a peace treaty between Russia and Japan.,establishing a corollary to the Monroe Doctrine asserting a U.S. right to intervene in Latin American affairs.,"popularizing the expression ""speak softly but carry a big stick"" in regard to dealing with foreign nations.",negotiating a treaty with Spain following the Spanish-American War.,E,0.79
997,President Woodrow Wilson's actions during the debate in the U.S. Senate over the ratification of the Treaty of Versailles demonstrated his,desire to compromise with Congress.,all-or-nothing attitude in regard to acceptance of the League of Nations.,dislike for the actions of the Allied nations.,desire to implement an isolationist policy.,unwillingness to accept loss of control over military actions.,B,0.34
998,U.S. foreign policy with regard to conflicts in the Middle East since the 1960s has been influenced by the desire to balance the,independence of Israel with the need for oil from the Arab states.,rights of the Palestinians with support for Libya.,interests of Muslims and Hindus.,expansionist policies of the Soviet Union and preserving the territorial integrity of the Palestinian state.,preservation of human rights with maintaining free trade.,A,0.03
999,"When many savings and loan banks in the 1980s failed, the federal government",forced the bank owners to pay the depositors their proper shares.,allowed the market to take its natural course.,allowed the Federal Deposit Insurance Corporation to reimburse the depositors.,used tax money to bail out the banks.,reorganized the banking industry by passing the Glass-Steagall Act.,D,0.8
1000,Which of the following statements regarding the American Revolution is true?,Benjamin Franklin led protests against the British in New York.,Thomas Paine established the Committees of Correspondence to disseminate information during the Revolutionary War.,John Adams defended the British Soldiers involved in the Boston Massacre.,Crispus Attucks was killed at Bunker (Breed's) Hill.,Patrick Henry was hung by the British for protesting the Tea Tax.,C,0.66
1001,Shays's Rebellion was important in that it,highlighted the slave problems that existed in the United States in 1787.,was crushed by a militia sent by the Congress under the Articles of Confederation.,was a catalyst that led to the scrapping of the Articles of Confederation.,led to the adoption of the Bill of Rights.,"was the ""shot heard round the world.""",C,0.14
1002,"During the John Adams administration, the Virginia and Kentucky Resolutions",introduced the idea of nullification.,resolved the conflict over the Alien and Sedition Acts.,were supported by the Federalists.,were written by James Madison and Alexander Hamilton.,were declared unconstitutional by the Supreme Court.,A,0.23
1003,"In the Emancipation Proclamation, Abraham Lincoln stated that all",slaves in the states in rebellion would be freed.,slaves in the border states would be freed.,slaves in the United States would be free at the end of the Civil War.,children born to slaves would be born free.,slaves in the North would be freed.,A,0.02
1004,All of the following books could be used to justify the prevailing economic conditions in Gilded Age America EXCEPT,Risen From the Ranks (1874) by Horatio Alger.,What Social Classes Owe to Each Other (1883) by William Graham Sumner.,Looking Backward: 2000-1887 (1888) by Edward Bellamy.,The Wealth of Nations (1776) by Adam Smith.,The Gospel of Wealth (1889) by Andrew Carnegie.,C,0.87
1005,Josiah Strong and Alfred T. Mahan were American writers in the late 19th century who were noted for,opposing Jim Crow laws and lynching.,exposing urban corruption.,depicting regional customs and dialects.,supporting an imperialist foreign policy.,describing the horrors of war.,D,0.79
1006,"Although the Progressive movement consisted of a diversity of interests, a common belief held by most Progressives was that",the federal government should nationalize banks and major industries.,state governments should take steps to overturn Jim Crow laws and to stop lynching incidents.,higher tariffs should be implemented to protect U.S. businesses and preserve jobs for Americans.,the role of the government should be expanded to address social and economic problems.,"women should honor the middle-class ideals of the ""cult of domesticity.""",D,0.34
1007,Which of the following is true of the 1935 Works Progress Administration?,It was struck down by the Supreme Court on the grounds that it gave legislative power to the executive branch.,"It oversaw the building of massive hydroelectric plants along the Tennessee River, which brought electricity to many parts of the rural South.",It established legal protections for workers organizing unions and listed unfair labor practices that employers could not use.,It rapidly created jobs in fields as varied as airport construction and mural painting.,"It provided emergency assistance to banks, railroad companies, life insurance companies, and other large businesses.",D,0.96
1008,A fundamental cause of the urban riots that broke out in many cities during the Lyndon Johnson administration was,the rising expectations of African Americans for an improved quality of life.,despair of the poor and minorities over the draft for Vietnam.,frustration of African Americans over the slow pace of change in the South regarding segregation.,anger over the inability of African Americans in the North to vote.,a growing feeling among African Americans that affirmative action would never be implemented.,A,0.15
1009,All of the following are challenges being faced by the United States in the 21st century EXCEPT,the danger to the Social Security system because of the graying of America.,the search for a cure for AIDS.,the existence of de jure segregation in the South.,the high costs of health care.,the lack of sufficient energy resources.,C,0.32
1010,Which of the following events occurred LAST?,Establishment of St. Augustine,Establishment of Jamestown,Establishment of Quebec,Signing of the Treaty of Tordesillas,Discovery of America by Columbus,C,0.96
1011,The most compelling reason for European exploration in the 1400s was the,desire to Christianize new lands.,increased need for labor.,need for new lands to support growing populations.,desire for an all-water route to the East.,desire for religious freedom.,D,0.16
1012,The exploration of the New World,led to the rise of capitalism.,provided the raw materials needed for the New World to further its development.,provided markets for goods produced in the Americas.,allowed for excess African population to be sent to the New World.,ended the economic system known as mercantilism.,A,0.61
1013,The first permanent European settlement in the territory that would become the United States was,Plymouth.,Jamestown.,St. Augustine.,Santa Fe.,New Amsterdam.,C,0.61
1014,The settlements of Jamestown and Plymouth differed in that,"Jamestown was settled by Pilgrims, while Plymouth was settled by Puritans.","the settlers of Jamestown were married with families, while the settlers of Plymouth were mostly single males.","the settlers of Jamestown were largely single men seeking gold and adventure, while the settlers of Plymouth were mostly family units seeking religious freedom.","Jamestown was a royal colony, while Plymouth was settled by individuals without any connection to the crown.","Jamestown enjoyed a good relations with the Native Americans, while Plymouth colony was under constant attack from the Native Americans.",C,0.21
1015,Which person is correctly associated with a colony?,John Smith?Plymouth Colony,James Olgethorpe?Georgia,John Rolfe?Carolina,Lord Baltimore?North Carolina,Jonathan Winthrop?Connecticut,B,0.95
1016,The headright system,was an example of the Barbados Slave Codes.,referred to the number of people aboard a ship traveling from England to the New World.,was a form of slavery.,helped to populate the colonies of Virginia and Maryland.,increased the number of slaves imported to the New World.,D,0.02
1017,The major crops grown in the Southern colonies,were used within the colonies.,were sold as exports.,depended on small farmers as the major producers.,"made the Southern colonies the ""bread basket"" of the English colonies.",increased the number of indentured servants necessary to produce these crops.,B,0.58
1018,The social structure that emerged in the colonies by 1750 differed from the social structure in Europe in that the colonial social structure,lacked an aristocratic class.,allowed for greater social mobility than in Europe.,included the Native Americans.,placed the clergy in the middle class.,did not include indentured servants.,B,0.74
1019,One of the significant effects of the Great Awakening was that it,was a religious revival carried to the colonies from Europe.,led to less competition among churches for worshippers.,led to the founding of Harvard and Princeton.,lessened the influence of the clergy in the colonies.,"was led by the American theologian, George Whitefield.",D,0.32
1020,The Middle Passage referred to the,crossing of the Atlantic by the Pilgrims.,"conversion of people to the ""elect"" of the Puritan faith.",journey of African slaves from West Africa to the New World.,journey to heaven after death.,transporting of rum across the Atlantic Ocean to Africa as part of Triangular Trade.,C,0.21
1021,"The trade in slaves, rum, and molasses that took place during the 1700s among the colonies, Africa, and England was called",the Commercial Revolution.,mercantilism.,rum running.,barter.,Triangular Trade.,E,0.95
1022,"The British government countered the colonists' argument that they were not represented in Parliament and, therefore, could not be taxed by Britain, with the idea of",actual representation.,virtual representation.,divine right rule.,mercantilism.,a classed society.,B,0.81
1023,"The French and Indian War, which ended in 1763, was significant because it",removed the Native American threat from the colonies.,severely drained the British treasury.,opened up new lands west of the Mississippi River.,gave Florida to France.,signaled a shift in the British policy of salutary neglect to one of British involvement in the affairs of the colonies.,E,0.99
1024,The Intolerable Acts passed in 1774,affected all the colonies in British North America.,affected only the city of Boston.,resulted in the suspension of the charter of Massachusetts.,led to Shays's Rebellion.,were a direct result of the Townshend Acts.,C,0.4
1025,"Thomas Paine's pamphlet, Common Sense, was significant because it",outlined the reasons for the ratification of the Constitution.,outlined the reasons colonial independence from Great Britain was a logical step for the colonies to take.,was rejected by the colonists as a piece of propaganda.,stated a belief in democracy.,was written by a high-ranking British official who supported colonial independence.,B,0.37
1026,One of the challenges facing the delegates to the Constitution Convention in 1787 was,where the seat of government was to be located.,the role of the cabinet in the executive branch of government.,the fear of military rule to control the mobs.,the need to balance governmental powers and states' rights.,the need to crush Shays's Rebellion and other similar protests that had been occurring at the time.,D,0.89
1027,One of the most notable achievements of the Articles of Confederation was its,ability to enforce the laws of the land.,legislation concerning the settlement of the territories acquired from Great Britain at the end of the Revolutionary War.,ability to deal with foreign and domestic commerce.,the establishment of a system of checks and balances.,the flexibility it built into the government by the simple amending process that it established.,B,0.33
1028,"To convince the states to ratify the Constitution, James Madison, Alexander Hamilton, and John Jay wrote",the Bill of Rights.,the Northwest Ordinance.,The Federalist Papers.,the pamphlet Common Sense.,the Great Compromise.,C,0.79
1029,Which statement best characterizes the attitude of the delegates to the Constitutional Convention toward the issue of slavery?,The delegates were indifferent to the issue of slavery.,The delegates recognized the need for the expansion of slavery as the nation grew.,The delegates treated slavery as a political issue because it threatened the unity of the nation.,There was a deep concern among the delegates for the plight of the African slave.,The Southern states viewed their role with regard to the slaves as a paternalistic one.,C,0.81
1030,Washington's administration was significant because it,dealt successfully with the problems between England and France.,dealt effectively with political parties.,"was the first administration and, thus, set precedents for future administrations.",supported the British after the French declared war on Great Britain in 1793.,established a strong political base for the Democratic-Republicans.,C,0.23
1031,All of the following were part of Hamilton's financial program EXCEPT,"the establishment of the capital of the United States in Washington, D.C.",the funding of the domestic and foreign debt of the United States.,the assumption of state debt.,the levying of excise taxes and tariffs.,the establishment of the Bank of the United States.,A,0.98
1032,"In his ""Farewell Address,"" delivered in 1796, George Washington counseled the United States to",choose sides carefully in the conflict between England and France.,build a strong Navy.,remain neutral when it came to conflict in Europe.,support England in the conflict with France.,support John Adams and his incoming administration.,C,0.64
1033,Thomas Jefferson's objection to the Bank of the United States centered around his belief in,loose construction of the Constitution.,implied powers.,the idea that the Bank favored the wealthy Southern planters.,nullification of federal laws by the states.,strict construction of the Constitution.,E,0.89
1034,"The election of 1800 has often been termed the ""Revolution of 1800."" This refers to the fact that it",marked the first election of a non-Virginian to the presidency since the establishment of the Constitution.,was a peaceful transition of the control of the presidency from a Federalist to a Democratic-Republican.,changed the process of electing the president.,resulted in the election of the first non-Christian to the presidency.,was the first election in which the western section of the country was very influential.,B,0.47
1035,The Supreme Court case of Marbury v. Madison (1803) was significant because it,gave more power to the Republicans.,established the right of the federal government to control interstate commerce.,supported the doctrine of states' rights.,gave the states the power to control interstate commerce.,established the court's power of judicial review.,E,0.65
1036,The Missouri Compromise (1820) provided for all of the following EXCEPT,the extension of slavery into the Northwest Territory.,for Missouri's entrance into the Union as a slave state.,for Maine's entrance into the Union as a free state.,that there was to be no slavery north of the 36° 30' north latitude line.,that slavery was to be permitted south of the 36° 30' north latitude line.,A,0.44
1037,The Monroe Doctrine,was enforced by England.,created a sphere of influence for the United States in the Western Hemisphere.,expelled all European nations from the Western Hemisphere.,reiterated the U.S. policy of involvement in world affairs.,was part of the American System proposed by Henry Clay.,B,0.6
1038,The Whigs were,a Northern party.,a Southern party.,a pro-Bank party.,a pro-nullification party.,a pro-Indian removal party.,C,1
1039,"Who accused John Quincy Adams of making a ""corrupt bargain""?",Henry Clay,Daniel Webster,William Crawford,Andrew Jackson,James Monroe,D,0.14
1040,Who did not support the idea of nullification?,John C. Calhoun,Thomas Jefferson,James Madison,Robert Hayne,Daniel Webster,E,0.51
1041,A tariff would protect,cloth made in New England.,cloth made in England.,cotton grown in the South.,wheat grown in the West.,corn grown in New England.,A,0.19
1042,The Erie Canal connected,North to South.,Midwest to South.,Northeast to West.,Southeast to West.,Southeast to Northeast.,C,0.21
1043,Match the reform to the reformer. V)    Mental institutions W)    Abolitionism X)    Suffrage Y)    Education Z)    Religion 1)    William Lloyd Garrison 2)    Charles Grandison Finney 3)    Horace Mann 4)    Dorothea Dix 5)    Elizabeth Cady Stanton Answer choices:,"V-4, W-1, X-3, Y-2","V-3, X-5, Y-4, Z-2","V-4, W-1, X-5, Z-2","W-1, X-5, Y-2, Z-4","W-5, X-1, Y-2, Z-4",C,0.38
1044,"In the South,",all whites held slaves.,slaves told each other Bible stories.,slaves rarely ran away.,there were no free blacks.,all slaveholders were rich.,B,0.23
1045,The cotton gin,produced cotton cloth faster.,planted cotton seeds faster.,was a curse to the planters.,allowed cotton to be grown profitably further North.,allowed cotton to be grown profitably further West.,E,0.49
1046,The Irish,settled in cities.,became farmers.,were skilled workers.,were Protestants.,were highly educated.,A,0.44
1047,The gag rule was favored the most by,Northerners.,Southerners.,Whigs.,Democrats.,Anti-Masons.,B,0.73
1048,Manifest Destiny involved,slavery.,anti-slavery.,tariff protection for New England manufacturing.,expansion to the west.,Native American rights.,D,0.36
1049,"David Wilmot, author of the Wilmot Proviso (1846), was a congressman from",California.,South Carolina.,Pennsylvania.,North Carolina.,Kansas.,C,0.59
1050,Place these events in chronological order: I.    Kansas-Nebraska Act II.    Missouri Compromise III.    secession IV.    Bleeding Kansas V.    Uncle Tom's Cabin published Answer choices:,"II, V, IV, I, III","III, II, I, IV, V","V, IV, I, II, III","II, V, I, IV, III","V, I, II, III, IV",D,0.29
1051,Which position had the most unpredictable outcome?,No extension of slavery to the west,Supporting a national slave code,Popular sovereignty,Immediate abolition,Gradual abolition,C,0.64
1052,The Know-Nothings were,pro-immigrant.,anti-immigrant.,supported by slaveholders.,supported by Catholics.,supported by the Ku Klux Klan.,B,0.25
1053,Why did the Southern states secede after the election of 1860?,They were attacked.,The tariff was too high.,They wanted to preserve slavery.,Virginia encouraged them.,They had lost Missouri.,C,0.95
1054,"Of the states below, which one was President Lincoln most concerned about how the population felt about the Civil War?",Illinois,Kentucky,Georgia,Mississippi,South Carolina,B,0.72
1055,Match the battle with its state. V)    Vicksburg1)    Georgia W)    Atlanta2)    Maryland X)    Richmond3)    Mississippi Y)    Gettysburg4)    Virginia Z)    Antietam5)    Pennsylvania Answer choices:,"V-3, W-1, Y-5, Z-2, X-4","V-3, X-4, Y-5, Z-1, W-2","W-1, X-4, Y-5, Z-3, V-2","V-2, W-1, X-4, Y-5, Z-3","W-1, X-3, Y-5, Z-4, V-2",A,0.83
1056,Place the following events in chronological order: 1)    Lincoln elected 2)    Lincoln took office 3)    Upper South secedes 4)    Lower South secedes 5)    Fort Sumter attacked Answer choices:,"1, 2, 5, 3, 4","3, 4, 1, 2, 5","4, 3, 1, 2, 5","1, 4, 2, 5, 3","1, 5, 3, 4, 2",D,0.58
1057,Which is the BEST explanation for why the South lost?,They used slaves to fight.,They had poor generals.,They had weak support from the population.,They had too many deserters.,The war lasted too long.,E,0.63
1058,The Freedman's Bureau was established to,help former slaves find jobs and protect them from discrimination.,help African Americans win election to public office.,help rebuild the transportation networks of the South.,protect African Americans from scalawags and carpetbaggers.,help former slave owners get back on their feet economically after Emancipation.,A,0.62
1059,"Under the terms of the Compromise of 1877, Republicans maintained control of the White House and agreed to",transfer large sums of money to the Democratic Party.,withdraw federal troops from the South.,push for passage of the 15th Amendment.,give Democrats control of Congress.,raise tariff rates on imported goods.,B,0.34
1060,"The Reconstruction Act of 1867 required that the former Confederate states, in order to gain readmission to the Union,",ratify the 14th Amendment and guarantee African American men the right to vote.,end slavery.,imprison former Confederate government officials.,have 10 percent of their people sign a loyalty oath to the Constitution of the United States.,nullify Jim Crow laws.,A,0.24
1061,Pick the correct order for the following events: W)    Rutherford B. Hayes becomes president. X)    The South surrenders to end the Civil War. Y)    The act establishing Radical Reconstruction is passed. Z)    The Emancipation Proclamation is issued. Answer choices:,"X, Z, Y, W","W, Z, X, Y","Z, X Y, W","Z, Y, X, W","X, Y, W, Z",C,0.68
1062,Which of the following was NOT a major reason for the movement of large numbers of people from the east of the Mississippi River to the west of it during the second half of the 19th century?,People were interested in the free land provided by the Homestead Act.,The completion of the first transcontinental railroad made doing business out west economically feasible.,People were trying to escape the air and water pollution common in the cities of the East.,Soil was becoming depleted in the East.,Strikes of gold and silver lured prospectors out west.,C,0.47
1063,The Dawes Act,forced Native Americans to be removed from their traditional homelands.,allowed Native Americans to practice their traditional ways within the confines of their reservations.,"encouraged Native Americans to own individual plots of land, which they and their families would cultivate.",allowed Native Americans to establish gambling casinos on their land.,outlawed the ceremonial Ghost Dance.,C,0.81
1064,The purpose of the Homestead Act was to,attract people to settle in the West.,promote the development of railroad building in the West.,raise revenue for the federal government.,preserve open lands in the West for future generations to enjoy.,transfer large tracts of land to giant agricultural concerns.,A,0.99
1065,"""Exodusters"" were",Mormons who made the journey from the East to Utah.,ministers who were part of the Second Great Awakening.,Native Americans who were forced off their land by the Indian Removal Act.,African Americans who fled the South in the post?Civil War period.,"farmers who fled the ""Dust Bowl"" during the 1920s and 1930s.",D,0.97
1066,"""Yellow-dog"" contracts",required African Americans to agree to work as sharecroppers.,were the result of collective bargaining by unions and owners.,were part of the strategy used by owners to prevent the establishment of unions.,were welcomed by craft unions.,were emblematic of Gilded Age corruption.,C,0.13
1067,The Bessemer process created an inexpensive way to,refine oil.,assemble the parts of an automobile.,create steel.,harvest corn and wheat.,generate electricity.,C,0.65
1068,The Sherman Antitrust Act,was used successfully to break up trusts.,was welcomed by Andrew Carnegie.,was consistent with the philosophy of social Darwinism.,was used most effectively against striking unions.,strengthened the Clayton Antitrust Act.,D,0.06
1069,An important trend that characterized American society during the Gilded Age was,harmony and peace at industrial sites.,"clean, efficient government.",a decline of rail transportation and an increase in truck and automobile use.,the continuation of rural traditions.,a growing economy.,E,0.29
1070,Pick the choice that matches the author with the book he or she wrote. X)    Stephen Crane Y)    Willa Cather Z)    Henry James 1)    My ántonia 2)    The House of Mirth 3)    The Bostonians 4)    The Red Badge of Courage Answer choices:,X-4; Y-2; Z-1,X-2; Y-1; Z-3,X-4; Y-1; Z-3,X-3; Y-2; Z-4,X-2; Y-1; Z-4,C,0.63
1071,"The ""new immigrants"" of the late 19th and early 20th century were primarily",Anglo-Saxons.,Irish refugees from the potato blight.,from within the Western hemisphere.,Eastern and Southern Europeans.,exiles leaving the United States.,D,0.14
